X,Y,Z,ID,Description
2169.996,5071.648,2321.178,33,
2221.367,4879.073,1971.682,9,
2130.577,4959.576,2206.347,25,
2410.096,4774.964,2115.945,40,
2437.125,5461.078,2374.331,7,
2320.168,4859.489,2363.165,92,
2396.202,4624.34,2374.331,295,
2327.754,4866.63,2376.653,157,
2545.146,4912.237,2311.366,59,
2497.035,4993.96,2771.2,302,
2598.778,4863.594,2048.816,20,
2326.119,4868.135,2372.102,101,
2435.41,5161.504,2382.036,34,
2324.332,4864.128,2377.73,189,
2322.107,4863.005,2376.271,180,
2325.094,4861.761,2373.2,158,
2328.632,4868.145,2376.156,141,
2376.595,4886.109,2378.537,96,Corner Point
2712.123,4682.674,2560.808,307,
2326.155,4865.412,2379.353,200,Ramp Point
2207.872,4714.865,2259.516,83,
2820.514,4782.78,2622.454,306,
2321.043,4863.347,2378.468,201,
2337.18,4854.399,2365.346,145,
2168.729,5025.472,2227.152,21,
2093.6,4870.167,2738.375,303,
2826.777,4805.061,2625.536,305, Turn2
2498.09,4988.282,2424.418,69,
2326.888,4865.106,2378.041,186,
2328.806,4862.263,2373.825,166,
2341.363,4857.909,2396.563,260,
2323.264,4862.153,2371.719,129,
2578.253,5161.226,2181.12,11,
2253.48,4964.545,2489.366,261,
2313.869,4821.157,2374.205,266,
2347.436,4860.511,2374.486,213,
2704.27,4862.408,2088.866,31,
2334.316,4858.276,2394.01,256,
2312.005,4867.8,2379.238,153,
2327.793,4855.425,2377.566,239,
2608.585,4953.274,2581.333,290,
2347.08,4858.301,2371.613,202,
2343.136,4853.472,2364.928,160,
2320.542,4861.665,2374.845,172,
2326.652,4867.185,2371.668,102,
2333.433,4870.366,2365.736,87, Turn 3
2331.95,4861.215,2373.389,177,
2324.693,4862.143,2372.697,144,
2315.581,4844.174,2387.615,258,
2540.865,4778.387,2456.011,291,
2325.99,4863.605,2365.736,93,
2153.59,4960.019,2418.166,65,
2337.871,4867.192,2381.797,218,
2524.737,5045.124,2176.676,16,
2323.018,4865.732,2374.567,131,
2308.314,4864.171,2374.12,120,
2321.973,4866.654,2374.558,122,
2327.225,4861.215,2374.996,187,
2414.277,4877.061,2045.849,15,
2334.405,4871.053,2386.289,229,
2334.282,4867.702,2365.15,90,
2170.939,4832.619,2234.087,49,
2335.287,4870.192,2369.811,94,
2330.404,4855.777,2366.234,135,
2332.938,4864.515,2377.585,195,
2311.925,4848.199,2371.503,233,
2327.674,4866.278,2363.228,86,
2324.001,4863.895,2377.435,188,
1942.041,4853.109,2625.953,297,
2326.092,4866,2373.149,115,
2343.497,4832.145,2378.594,264,
2322.643,4868.508,2373.377,105,
2322.083,4860.716,2371.017,136,
2321.684,4875.44,2390.258,223,
2324.724,4872.204,2374.008,97,
2382.927,4684.719,2038.919,39,
2321.826,4859.697,2369.123,119,
2324.906,4864.725,2371.394,111,
2412.16,5013.156,2674.38,296,
2327.133,4854.182,2388.681,253,
2334.449,4865.309,2385.756,242,
2321.997,4857.453,2378.177,236,
2327.302,4860.226,2375.443,204,
2690.505,5139.993,2534.609,88,
2334.157,4872.548,2388.169,234,
2326.254,4864.878,2375.591,159,
2324.342,4863.702,2371.822,116,
2328.111,4864.05,2374.549,154,
2320.736,4849.565,2357.043,98,
2212.535,5021.823,2253.351,26,
2325.669,4862.843,2373.599,148,
1812.016,5010.565,2563.533,247,
2331.794,4855.718,2366.339,142,
2321.947,4859.105,2374.237,191,
2322.868,4859.078,2377.406,220,
1957.091,5146.159,2345.354,22,
2811.486,4886.801,2302.839,66,
2299.928,4841.831,2394.322,269,
2300.502,4968.038,2530.9,279,
2313.589,4871.642,2384.356,185,
2350.354,4853.846,2366.339,183,
2320.491,4863.833,2376.547,173,
2689.09,5216.859,2531.527,61,
2329.809,4861.455,2373.796,176,
2338.05,4861.049,2373.963,192,
2030.707,5112.15,2006.921,4,
2333.144,4859.469,2389.057,249,
2325.457,4849.829,2394.888,265,
2338.368,4853.667,2364.563,143,
2328.868,4878.942,2383.836,126,
2211.68,4660.469,2263.369,268,
2323.593,4862.505,2372.028,132,
2326.429,4866.547,2372.37,110,
2522.756,4804.872,2444.452,285,
2313.14,5147.909,2309.603,23,
2815.572,4688.391,2125.142,62,
2713.19,4857.411,2363.422,271,
2325.917,4861.423,2370.009,121,
2339.143,5335.51,2039.246,1,
2326.283,4857.183,2380.406,243,
2371.172,4985.454,2348.902,53,
2319.189,4888.074,2373.274,73,
2360.408,4667.034,2111.501,55,
2345.412,4865.759,2381.249,232,
2324.713,4866.193,2375,139,
2327.437,4866.355,2376.207,151,
2318.601,4847.146,2387.114,255,
2324.231,4852.965,2391.419,257,
2087.727,4704.83,2204.054,60,
2312.159,4851.021,2383.982,248,
1938.58,5121.107,2375.114,29,
2338.066,4855.943,2367.435,161,
2138.19,4665.569,2219.446,72,
2324.288,4866.204,2373.806,117,
2591.559,4985.036,2289.719,47,
2326.407,4864.391,2377.218,184,
2327.342,4866.952,2374.529,123,
2519.156,4927.554,2389.983,89,
2323.848,4851.416,2359.81,103,
2319.338,4863.056,2379.123,208,
2345.515,4865.396,2382.247,237,
2324.912,4861.612,2378.52,217,
2510.318,5214.639,2655.124,263,
2375.817,4789.471,2357.378,275,
2294.406,4987.138,2640.666,289,
2323.126,4866.864,2375,124,
2100.408,4792.4,2193.247,46,
2325.999,4860.174,2376.014,206,
2308.228,4863.82,2348.324,68,
2322.518,4860.699,2372.524,152,
2321.326,4887.159,2376.154,76,
2327.646,4863.883,2374.517,156,
2321.468,4861.872,2375,174,
2326.233,4859.285,2376.347,216,
2319.951,4860.778,2375,182,
2347.918,4863.974,2378.977,227,
2168.563,5127.875,2224.07,12,
2330.37,4871.256,2386.027,222,
2381.405,4885.26,2379.563,104,
2301.731,4855.483,2362.366,95,
2330.174,4859.099,2374.786,207,
2472.43,4569.414,2421.335,301,
2325.155,4867.182,2372.968,109,
2320.123,4860.518,2372.435,149,
2336.658,4625.013,2132.239,63,
2337.418,4893.944,2370.073,70,
2321.888,4860.465,2370.931,140,
2379.703,4884.186,2379.364,106,
2568.415,4548.156,2479.128,308,
2310.977,4844.422,2377.898,246,
2332.746,4872.405,2387.803,231,
2369.601,4882.233,2377.654,99,
2551.336,4894.389,2209.016,43,
2322.555,4861.927,2373.877,164,
2325.293,4863.112,2374.956,167,
2292.123,4865.303,2364.772,80,
2431.736,5044.722,2751.442,299,
2324.581,4860.964,2378.88,225,
2339.667,4857.164,2396.687,262,
2322.509,4863.228,2375.995,175,
2800.912,4883.804,2257.966,58,
2305.498,4842.207,2399.043,272,
2319.396,4862.882,2378.664,205,
2483.312,4852.329,2032.723,17,
2325.208,4871.491,2385.662,215,
2447.235,4957.233,2437.819,212,
2336.74,4819.31,2378.822,273,
2325.012,4860.163,2376.433,209,
2426.521,5150.632,2183.797,10,
2328.556,4866.296,2379.566,198,
2325.091,4865.643,2369.921,100,
2346.284,4869.528,2385.871,238,
2338.074,4865.252,2379.343,214,
1924.878,5163.294,2340.039,18,
2335.524,4870.804,2358.734,74,
2326.958,4864.683,2373.425,133,
2328,4862.193,2374.196,169,
2325.454,4864.67,2376.967,178,
2326.803,4866.763,2373.141,112,
2321.521,4866.493,2375,125,
2784.747,4977.273,2595.484,293,
2471.454,4982.688,2481.378,267,
2348.296,4884.934,2373.236,78,
2321.399,4862.943,2377.222,190,
2505.182,5183.829,2607.723,221,
2327.144,4864.872,2378.606,197,
2324.33,4862.964,2373.467,146,
2285.644,4849.562,2365.399,118,
2331.007,4860.444,2382.663,244,
2325.263,4861.822,2379.222,219,
2287.906,4833.577,2367.736,245,
2343.176,4872.986,2389.892,241,
2442.505,5280.117,2382.807,19,
2410.477,4812.984,2204.82,50,
2434.102,4658.626,2395.906,294,
2328.165,4867.651,2375.711,137,
2342.993,4856.671,2369.002,181,
2327.552,4863.23,2375,168,
2906.742,4879.452,2671,304,
2319.762,4867.589,2379.969,179,
2324.889,4863.688,2375,165,
2304.155,4847.868,2383.67,250,
2321.865,4863.502,2378.189,199,
2344.55,4861.82,2390.118,252,
2740.493,5209.827,2562.349,67,
2311.268,4840.856,2386.299,259,
2519.033,4888.487,2418.449,276,
2675.699,5048.862,2528.444,277,
2374.447,4686.532,2637.644,310,
2324.075,4860.266,2376.776,210,
2345.784,4867.21,2382.842,235,
2329.457,4864.641,2374.894,155,
2353.366,4866.299,2376.428,194,
2292.722,4492.372,2316.538,298,
2149.843,5062.535,2214.823,14,
2322.432,4861.345,2372.582,147,
2324.228,4863.736,2371.359,114,
2689.222,4902.137,2540.773,292,
2308.377,4856.643,2366.239,107,
2643.142,5028.198,2226.312,32,
2322.179,4860.688,2377.366,211,
2331.928,4872.202,2387.438,228,
2455.609,4676.815,2619.575,309,
2331.939,4854.52,2364.824,128,
2324.677,4863.709,2372.935,134,
2325.01,4853.568,2385.797,251,
2565.274,4986.501,2464.487,254,
2334.269,4863.149,2383.227,240,
2108.494,4534.51,2205.576,278,
2313.312,4857.454,2369.232,130,
2339.318,4867.699,2382.633,226,
2332.732,4865.012,2370.234,108,
2328.739,4863.106,2371.795,127,
2305.717,4882.719,2365.314,71,
2325.554,4862.853,2373.713,150,
2333.066,4863.716,2376.731,193,
